Area_ID,RSM_ID
100001,10001
100002,10001
100003,10001
100004,10001
100005,10002
100006,10002
100007,10002
100008,10002
100009,10003
100010,10003
100011,10003
100012,10003
100013,10003
100014,10004
100015,10004
100016,10004
100017,10004
100018,10004
100019,10004
100020,10004
100021,10004
100022,10004
100023,10004
100024,10004
100025,10004
100026,10004
100027,10004
100028,10005
100029,10005
100030,10005
100031,10005
100032,10005
100033,10005
100034,10005
100035,10005
100036,10005
100037,10005
100038,10005
100039,10005
100040,10005
100041,10005
100042,10006
100043,10006
100044,10006
100045,10006
100046,10006
100047,10006
100048,10006
100049,10006
100050,10007
100051,10007
100052,10007
100053,10007
100054,10007
100055,10007
100056,10007
100057,10007
100058,10007
100059,10007
100060,10008
100061,10008
100062,10008
100063,10008
100064,10008
100065,10008
100066,10008
100067,10008
100068,10008
100069,10008
100070,10008
100071,10009
100072,10009
100073,10009
100074,10009
100075,10009
100076,10009
100077,10009
100078,10009
